FECHA,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
2017-02-10,2.0,0.0,2.0,0.0,1.0,4.0,8.0,10.0,7.0,2.0,8.0,6.0,8.0,8.0,9.0,11.0,14.0,12.0,8.0,13.0,5.0,8.0,4.0,1.0
2017-02-11,1.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,7.0,3.0,3.0,6.0,14.0,11.0,7.0,5.0,7.0,8.0,2.0,5.0,11.0,5.0,2.0,5.0
2017-02-12,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,6.0,7.0,5.0,6.0,5.0,4.0,4.0,5.0,2.0,5.0,2.0
2017-02-13,1.0,0.0,1.0,0.0,1.0,4.0,5.0,5.0,2.0,4.0,6.0,1.0,5.0,7.0,4.0,8.0,8.0,12.0,6.0,8.0,5.0,2.0,3.0,0.0
2017-02-14,1.0,0.0,0.0,0.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,12.0,5.0,5.0,12.0,7.0,7.0,15.0,11.0,5.0,3.0,4.0,2.0
2017-02-15,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,10.0,6.0,3.0,12.0,8.0,7.0,10.0,6.0,7.0,10.0,10.0,6.0,4.0,0.0,2.0,0.0
2017-02-16,1.0,1.0,0.0,0.0,0.0,1.0,13.0,7.0,10.0,4.0,8.0,7.0,5.0,6.0,7.0,6.0,12.0,12.0,7.0,5.0,5.0,5.0,5.0,1.0
2017-02-17,1.0,1.0,0.0,0.0,0.0,0.0,5.0,14.0,6.0,5.0,3.0,8.0,10.0,9.0,4.0,10.0,17.0,9.0,9.0,6.0,3.0,5.0,4.0,2.0
2017-02-18,2.0,0.0,2.0,0.0,2.0,3.0,1.0,8.0,9.0,9.0,10.0,10.0,13.0,13.0,8.0,8.0,7.0,5.0,6.0,5.0,5.0,6.0,6.0,0.0
2017-02-19,1.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,3.0,4.0,3.0,8.0,1.0,5.0,9.0,2.0,5.0,2.0,7.0,4.0,2.0,0.0
2017-02-20,0.0,0.0,1.0,1.0,1.0,3.0,10.0,9.0,5.0,4.0,9.0,5.0,9.0,7.0,15.0,15.0,5.0,15.0,13.0,9.0,5.0,5.0,5.0,0.0
2017-02-21,1.0,0.0,1.0,0.0,0.0,6.0,7.0,8.0,15.0,5.0,7.0,12.0,7.0,9.0,6.0,14.0,12.0,17.0,12.0,7.0,4.0,5.0,3.0,0.0
2017-02-22,1.0,0.0,1.0,0.0,0.0,3.0,13.0,13.0,11.0,10.0,10.0,8.0,10.0,11.0,9.0,4.0,10.0,15.0,12.0,4.0,3.0,3.0,2.0,2.0
2017-02-23,0.0,0.0,2.0,0.0,1.0,6.0,3.0,13.0,6.0,5.0,7.0,5.0,9.0,6.0,9.0,8.0,11.0,11.0,10.0,8.0,3.0,6.0,3.0,1.0
2017-02-24,1.0,0.0,0.0,0.0,0.0,6.0,13.0,12.0,7.0,5.0,3.0,8.0,6.0,6.0,7.0,9.0,12.0,14.0,9.0,9.0,7.0,5.0,2.0,3.0
