TW,BARRIO,Lat,Lon,Dia_sem,Mes,Dia,Hora
2018-01-15 08:00:00,laamerica,6.25074998,-75.60799474,LUNES,1,15,8
2018-01-15 08:00:00,naranjal,6.2486195,-75.58326413,LUNES,1,15,8
2018-01-15 08:00:00,losconquistadores,6.2445017,-75.58463223,LUNES,1,15,8
2018-01-15 08:00:00,perpetuosocorro,6.231896400000001,-75.57443537,LUNES,1,15,8
2018-01-15 08:00:00,prado,6.25804313,-75.55931724,LUNES,1,15,8
2018-01-15 08:00:00,caribe,6.27329337,-75.57317487,LUNES,1,15,8
2018-01-15 10:00:00,barriocolon,6.24488482,-75.56954716,LUNES,1,15,10
2018-01-15 10:00:00,antonionariño,6.25792044,-75.62137931,LUNES,1,15,10
2018-01-15 10:00:00,campovaldesno1,6.27079154,-75.55842908,LUNES,1,15,10
2018-01-15 10:00:00,altosdelpoblado,6.20833988,-75.55005935,LUNES,1,15,10
2018-01-15 11:00:00,naranjal,6.2486195,-75.58326413,LUNES,1,15,11
2018-01-15 12:00:00,bolivariana,6.24745433,-75.59244865,LUNES,1,15,12
2018-01-15 12:00:00,campoamor,6.21437299,-75.58636793,LUNES,1,15,12
2018-01-15 12:00:00,oriente,6.27241571,-75.54566042,LUNES,1,15,12
2018-01-12 11:00:00,belen,6.23127943,-75.60066545,VIERNES,1,12,11
2018-01-12 11:00:00,rosales,6.23753641,-75.59010838,VIERNES,1,12,11
2018-01-12 12:00:00,perpetuosocorro,6.23105229,-75.57452624,VIERNES,1,12,12
2018-01-12 12:00:00,boston,6.24892578,-75.55665852,VIERNES,1,12,12
2018-01-12 12:00:00,santander,6.30195336,-75.57864283,VIERNES,1,12,12
2018-01-12 12:00:00,lomadelosbernal,6.21490264,-75.60172039,VIERNES,1,12,12
2018-01-12 12:00:00,belen,6.23117158,-75.60068812,VIERNES,1,12,12
2018-01-12 13:00:00,losconquistadores,6.23961322,-75.57977075,VIERNES,1,12,13
2018-01-12 13:00:00,santafe,6.22552797,-75.58032729,VIERNES,1,12,13
2018-01-12 13:00:00,lacandelaria,6.24834879,-75.56520664,VIERNES,1,12,13
2018-01-12 13:00:00,bombonano1,6.24270021,-75.5651079,VIERNES,1,12,13
2018-01-12 13:00:00,cerronutibara,6.23162831,-75.57647192,VIERNES,1,12,13
2018-01-12 14:00:00,cucaracho,6.28199697,-75.60399212,VIERNES,1,12,14
2018-01-12 14:00:00,villacarlota,6.21483386,-75.57477627,VIERNES,1,12,14
2018-01-12 14:00:00,laalpujarra,6.24339939,-75.57530865,VIERNES,1,12,14
2018-01-12 14:00:00,campovaldesno2,6.27071377,-75.55233769,VIERNES,1,12,14
2018-01-12 15:00:00,laalpujarra,6.24374841,-75.5767012,VIERNES,1,12,15
2018-01-12 15:00:00,sanjoaquin,6.24550041,-75.58423701,VIERNES,1,12,15
2018-01-12 15:00:00,calasanzpartealta,6.26422994,-75.60355985,VIERNES,1,12,15
2018-01-12 15:00:00,suramericana,6.25525394,-75.58055285,VIERNES,1,12,15
2018-01-12 15:00:00,moravia,6.2757837,-75.56927169,VIERNES,1,12,15
2018-01-12 16:00:00,lahondonada,6.20588503,-75.60310624,VIERNES,1,12,16
2018-01-16 14:00:00,naranjal,6.24874196,-75.58425511,MARTES,1,16,14
2018-01-16 15:00:00,sanpedro,6.26407866,-75.56314739,MARTES,1,16,15
2018-01-17 16:00:00,losconquistadores,6.24086475,-75.58603908,MIERCOLES,1,17,16
2018-01-17 17:00:00,losangeles,6.24994354,-75.55609016,MIERCOLES,1,17,17
2018-01-17 17:00:00,lacandelaria,6.24893613,-75.56886619,MIERCOLES,1,17,17
2018-01-17 17:00:00,asomaderano1,6.23110572,-75.56559266,MIERCOLES,1,17,17
2018-01-17 17:00:00,elpoblado,6.20987531,-75.57069838,MIERCOLES,1,17,17
2018-01-17 17:00:00,loscolores,6.26384564,-75.59663344,MIERCOLES,1,17,17
2018-01-17 17:00:00,hectorabadgomez,6.29917781,-75.55943209,MIERCOLES,1,17,17
2018-01-17 17:00:00,barriocolon,6.2378231,-75.57166416,MIERCOLES,1,17,17
2018-01-17 17:00:00,lasgranjas,6.28029267,-75.55169652,MIERCOLES,1,17,17
2018-01-17 17:00:00,castilla,6.29166193,-75.56952336,MIERCOLES,1,17,17
2018-01-17 18:00:00,kennedy,6.28909927,-75.5812267,MIERCOLES,1,17,18
2018-01-17 18:00:00,laureles,6.23909696,-75.59402369,MIERCOLES,1,17,18
2018-01-17 18:00:00,bcerroelvolador,6.26043362,-75.58217967,MIERCOLES,1,17,18
2018-01-17 18:00:00,campovaldesno1,6.27079154,-75.55842908,MIERCOLES,1,17,18
2018-01-17 18:00:00,alejandria,6.20345277,-75.57169037,MIERCOLES,1,17,18
2018-01-17 18:00:00,areadeexpansionpajarito,6.28038763,-75.61707253,MIERCOLES,1,17,18
2018-01-17 18:00:00,barriocolon,6.24464129,-75.56603102,MIERCOLES,1,17,18
2018-01-17 18:00:00,elprogreso,6.27279765,-75.57888366,MIERCOLES,1,17,18
2018-01-17 19:00:00,lasvioletas,6.23451722,-75.61278211,MIERCOLES,1,17,19
2018-01-17 19:00:00,lacandelaria,6.24681398,-75.5663381,MIERCOLES,1,17,19
2018-01-17 19:00:00,auresno1,6.2899051,-75.59111613,MIERCOLES,1,17,19
2018-01-17 19:00:00,carloserestrepo,6.25790704,-75.58356205,MIERCOLES,1,17,19
2018-01-17 19:00:00,docedeoctubreno2,6.29996777,-75.57968545,MIERCOLES,1,17,19
2018-01-16 15:00:00,gerona,6.23915025,-75.5585844,MARTES,1,16,15
2018-01-16 15:00:00,lasesmeraldas,6.28051591,-75.55277194,MARTES,1,16,15
2018-01-16 15:00:00,docedeoctubreno1,6.30260433,-75.57975527,MARTES,1,16,15
2018-01-16 15:00:00,lasacacias,6.24099815,-75.60281806,MARTES,1,16,15
2018-01-16 15:00:00,elpesebre,6.27183575,-75.59735001,MARTES,1,16,15
2018-01-16 16:00:00,sanbernardo,6.22375562,-75.59745835,MARTES,1,16,16
2018-01-16 16:00:00,elprogreso,6.27357239,-75.57993054,MARTES,1,16,16
2018-01-16 16:00:00,lacandelaria,6.24847273,-75.56233246,MARTES,1,16,16
2018-01-16 16:00:00,lamilagrosa,6.2354033,-75.55576987,MARTES,1,16,16
2018-01-16 16:00:00,prado,6.25590771,-75.56415323,MARTES,1,16,16
2018-01-16 16:00:00,laslomasno1,6.20893845,-75.55913654,MARTES,1,16,16
2018-01-16 16:00:00,losangeles,6.25010683,-75.55690812,MARTES,1,16,16
2018-01-16 16:00:00,perpetuosocorro,6.23557028,-75.57350366,MARTES,1,16,16
2018-01-16 16:00:00,campoalegre,6.25609254,-75.60449712,MARTES,1,16,16
2018-01-16 17:00:00,trinidad,6.22666525,-75.58354378,MARTES,1,16,17
2018-01-16 17:00:00,enciso,6.24980296,-75.54838592,MARTES,1,16,17
2018-01-16 17:00:00,losconquistadores,6.24309704,-75.58333449,MARTES,1,16,17
2018-01-16 17:00:00,campoamor,6.21248632,-75.57894827,MARTES,1,16,17
2018-01-16 17:00:00,guayaquil,6.24608017,-75.57452778,MARTES,1,16,17
2018-01-16 17:00:00,naranjal,6.24912976,-75.58744299,MARTES,1,16,17
2018-01-16 17:00:00,lacandelaria,6.24925916,-75.56463793,MARTES,1,16,17
2018-01-16 17:00:00,elpoblado,6.21074566,-75.56852135,MARTES,1,16,17
2018-01-16 18:00:00,barriocolombia,6.22792732,-75.57119463,MARTES,1,16,18
2018-01-16 18:00:00,altamira,6.27696027,-75.58109053,MARTES,1,16,18
2018-01-16 18:00:00,barriocolon,6.24172211,-75.56843854,MARTES,1,16,18
2018-01-16 18:00:00,carloserestrepo,6.2543996,-75.57757579,MARTES,1,16,18
2018-01-16 18:00:00,bombonano1,6.24324767,-75.55961001,MARTES,1,16,18
2018-01-16 18:00:00,berlin,6.28575953,-75.55536504,MARTES,1,16,18
2018-01-16 19:00:00,miranda,6.27380929,-75.56465635,MARTES,1,16,19
2018-01-16 19:00:00,lacolina,6.19868312,-75.5895058,MARTES,1,16,19
2018-01-16 19:00:00,cristorey,6.20749006,-75.58783661,MARTES,1,16,19
2018-01-16 19:00:00,loscolores,6.26384564,-75.59663344,MARTES,1,16,19
2018-01-16 20:00:00,lasbrisas,6.30694397,-75.56397742,MARTES,1,16,20
2018-01-16 20:00:00,laamerica,6.24795524,-75.60532359999999,MARTES,1,16,20
2018-01-16 20:00:00,lopezdemesa,6.2844379,-75.5842108,MARTES,1,16,20
2018-01-16 21:00:00,loreto,6.22715256,-75.55984876,MARTES,1,16,21
2018-01-16 21:00:00,campovaldesno2,6.27279329,-75.55402235,MARTES,1,16,21
2018-01-16 21:00:00,toscana,6.31070123,-75.55748917,MARTES,1,16,21
2018-01-16 21:00:00,tenche,6.23166869,-75.57784446,MARTES,1,16,21
2018-01-17 15:00:00,facultaddeminasunacional,6.27338915,-75.59302128,MIERCOLES,1,17,15
2018-01-17 15:00:00,castilla,6.29324477,-75.57434298,MIERCOLES,1,17,15
2018-01-17 15:00:00,barriocolon,6.24487218,-75.56633728,MIERCOLES,1,17,15
2018-01-17 15:00:00,laamerica,6.25373508,-75.60663149999999,MIERCOLES,1,17,15
2018-01-17 15:00:00,elnogal-losalmendros,6.23367291,-75.59779051,MIERCOLES,1,17,15
2018-01-17 15:00:00,perpetuosocorro,6.2371921,-75.57586259,MIERCOLES,1,17,15
2018-01-17 16:00:00,belalcazar,6.29760977,-75.56638098,MIERCOLES,1,17,16
2018-01-17 16:00:00,losbalsosno2,6.19700373,-75.57290646,MIERCOLES,1,17,16
2018-01-11 14:00:00,lacandelaria,6.24682673,-75.56639601,JUEVES,1,11,14
2018-01-11 15:00:00,bcerroelvolador,6.26226723,-75.58424901,JUEVES,1,11,15
2018-01-11 15:00:00,manila,6.21120027,-75.57196871,JUEVES,1,11,15
2018-01-11 15:00:00,jesusnazareno,6.26093493,-75.56693785,JUEVES,1,11,15
2018-01-11 15:00:00,lalomaoriental,6.27570845,-75.62641162,JUEVES,1,11,15
2018-01-11 15:00:00,sandiego,6.22983416,-75.5687561,JUEVES,1,11,15
2018-01-11 16:00:00,suramericana,6.25165614,-75.57910299,JUEVES,1,11,16
2018-01-11 16:00:00,laaguacatala,6.1949202,-75.58002224,JUEVES,1,11,16
2018-01-11 16:00:00,santafe,6.21856141,-75.58501122,JUEVES,1,11,16
2018-01-11 16:00:00,perpetuosocorro,6.2371921,-75.57586259,JUEVES,1,11,16
2018-01-11 16:00:00,campovaldesno1,6.27127425,-75.55542168,JUEVES,1,11,16
2018-01-11 16:00:00,bombonano2,6.23058495,-75.54442691,JUEVES,1,11,16
2018-01-11 16:00:00,belen,6.23194276,-75.60416005,JUEVES,1,11,16
2018-01-11 16:00:00,sanbenito,6.25304015,-75.57492569,JUEVES,1,11,16
2018-01-11 17:00:00,sucre,6.24589723,-75.55264228,JUEVES,1,11,17
2018-01-11 17:00:00,terminaldetransporte,6.27611295,-75.57067281,JUEVES,1,11,17
2018-01-11 17:00:00,palermo,6.28616607,-75.56447890000001,JUEVES,1,11,17
2018-01-11 17:00:00,losconquistadores,6.23965187,-75.57786444,JUEVES,1,11,17
2018-01-11 17:00:00,santamonica,6.25021478,-75.61225259,JUEVES,1,11,17
2018-01-11 17:00:00,miranda,6.2746515,-75.56450204,JUEVES,1,11,17
2018-01-11 17:00:00,perpetuosocorro,6.2360777,-75.5746501,JUEVES,1,11,17
2018-01-11 17:00:00,facultaddeminasunacional,6.27338915,-75.59302128,JUEVES,1,11,17
2018-01-11 17:00:00,lasbrisas,6.30788481,-75.56387604,JUEVES,1,11,17
2018-01-11 18:00:00,moravia,6.2757837,-75.56927169,JUEVES,1,11,18
2018-01-11 18:00:00,barriocolon,6.24357858,-75.56759205,JUEVES,1,11,18
2018-01-11 18:00:00,terminaldetransporte,6.28047775,-75.57235507,JUEVES,1,11,18
2018-01-11 18:00:00,elvelodromo,6.25725044,-75.59803149,JUEVES,1,11,18
2018-01-11 18:00:00,loscolores,6.26384564,-75.59663344,JUEVES,1,11,18
2018-01-11 19:00:00,caribe,6.26802506,-75.57675704,JUEVES,1,11,19
2018-01-11 19:00:00,lapiñuela,6.27970652,-75.55807308,JUEVES,1,11,19
2018-01-11 19:00:00,lafloresta,6.25646593,-75.59915090000001,JUEVES,1,11,19
2018-01-11 19:00:00,laslomasno1,6.20893845,-75.55913654,JUEVES,1,11,19
2018-01-11 19:00:00,sanjavierno1,6.25623373,-75.61441761,JUEVES,1,11,19
2018-01-11 19:00:00,campovaldesno2,6.27108646,-75.55439272,JUEVES,1,11,19
2018-01-11 20:00:00,oriente,6.27307738,-75.54566166,JUEVES,1,11,20
2018-01-11 20:00:00,trinidad,6.22663144,-75.58350240000001,JUEVES,1,11,20
2018-01-11 20:00:00,alfonsolopez,6.28764486,-75.57731684,JUEVES,1,11,20
2018-01-11 20:00:00,tejelo,6.30704548,-75.56859195,JUEVES,1,11,20
2018-01-11 21:00:00,facultadveterinariayzootecniaudea,6.27008747,-75.58751291,JUEVES,1,11,21
2018-01-11 21:00:00,miranda,6.27380929,-75.56465635,JUEVES,1,11,21
2018-01-11 21:00:00,brasilia,6.27642521,-75.55958745,JUEVES,1,11,21
2018-01-11 21:00:00,santamariadelosangeles,6.19481171,-75.58031131,JUEVES,1,11,21
2018-01-11 22:00:00,moravia,6.27577141,-75.56922932,JUEVES,1,11,22
2018-01-11 22:00:00,guayabal,6.20363664,-75.58589784,JUEVES,1,11,22
2018-01-11 22:00:00,pedregal,6.30102467,-75.57245728,JUEVES,1,11,22
2018-01-11 22:00:00,lapiñuela,6.28094826,-75.55440101,JUEVES,1,11,22
2018-01-12 00:00:00,antonionariño,6.25701716,-75.62097338,VIERNES,1,12,0
2018-01-12 00:00:00,campoamor,6.21404271,-75.57952196,VIERNES,1,12,0
2018-01-12 02:00:00,simonbolivar,6.24613714,-75.60949116,VIERNES,1,12,2
2018-01-12 03:00:00,toscana,6.30666385,-75.55819073,VIERNES,1,12,3
2018-01-12 04:00:00,estacionvilla,6.25646775,-75.56884628,VIERNES,1,12,4
2018-01-12 05:00:00,guayabal,6.20152207,-75.58813347,VIERNES,1,12,5
2018-01-12 06:00:00,lasbrisas,6.30964273,-75.56380412,VIERNES,1,12,6
2018-01-12 06:00:00,sucre,6.24638331,-75.55169277,VIERNES,1,12,6
2018-01-12 06:00:00,jesusnazareno,6.25822855,-75.57049509,VIERNES,1,12,6
2018-01-12 08:00:00,auresno2,6.29100799,-75.58839934,VIERNES,1,12,8
2018-01-12 08:00:00,alfonsolopez,6.28597527,-75.57707602,VIERNES,1,12,8
2018-01-12 08:00:00,parquejuanpabloii,6.22935383,-75.58724818,VIERNES,1,12,8
2018-01-12 09:00:00,elchagualo,6.26305997,-75.56797232,VIERNES,1,12,9
2018-01-12 09:00:00,belen,6.23149272,-75.5944999,VIERNES,1,12,9
2018-01-12 09:00:00,laalpujarra,6.24631385,-75.57525396,VIERNES,1,12,9
2018-01-12 09:00:00,simonbolivar,6.24798227,-75.60534474,VIERNES,1,12,9
2018-01-12 09:00:00,castilla,6.287390900000001,-75.57326301,VIERNES,1,12,9
2018-01-12 09:00:00,palermo,6.2904084000000005,-75.56297067,VIERNES,1,12,9
2018-01-12 10:00:00,lasacacias,6.24414488,-75.60268159,VIERNES,1,12,10
2018-01-12 10:00:00,villanueva,6.25200719,-75.56306712,VIERNES,1,12,10
2018-01-12 10:00:00,elprogreso,6.27153781,-75.57742135,VIERNES,1,12,10
2018-01-12 10:00:00,perpetuosocorro,6.23892218,-75.57545953,VIERNES,1,12,10
2018-01-12 10:00:00,manila,6.21367728,-75.57619464,VIERNES,1,12,10
2018-01-12 11:00:00,suramericana,6.25165614,-75.57910299,VIERNES,1,12,11
2018-01-12 11:00:00,villaniza,6.29600656,-75.55688655,VIERNES,1,12,11
2018-01-12 11:00:00,losbalsosno2,6.19700373,-75.57290646,VIERNES,1,12,11
2018-01-17 13:00:00,manriquecentralno1,6.26319261,-75.55553385,MIERCOLES,1,17,13
2018-01-17 13:00:00,hectorabadgomez,6.30084479,-75.55981896,MIERCOLES,1,17,13
2018-01-17 13:00:00,barriocolon,6.23921237,-75.57029641,MIERCOLES,1,17,13
