BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
LaEsperanza,1.0,2.0,0.0,0.0,1.0,3.0,8.0,7.0,6.0,4.0,4.0,4.0,6.0,14.0,6.0,8.0,3.0,10.0,7.0,10.0,5.0,13.0,8.0,3.0
LaEsperanzaNo2,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0
LaFloresta,0.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,10.0,9.0,3.0,5.0,15.0,9.0,6.0,8.0,7.0,17.0,12.0,12.0,6.0,4.0,3.0,2.0
LaFlorida,3.0,1.0,0.0,1.0,0.0,1.0,3.0,11.0,8.0,13.0,11.0,12.0,9.0,15.0,17.0,19.0,8.0,16.0,11.0,12.0,6.0,4.0,4.0,1.0
LaFrancia,0.0,1.0,1.0,0.0,1.0,2.0,4.0,2.0,2.0,4.0,0.0,1.0,4.0,1.0,2.0,3.0,4.0,6.0,5.0,4.0,0.0,1.0,2.0,1.0
LaFrontera,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,0.0,1.0,0.0,2.0,6.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0
LaGloria,2.0,2.0,2.0,0.0,3.0,6.0,17.0,14.0,13.0,8.0,11.0,9.0,13.0,11.0,11.0,15.0,11.0,16.0,16.0,10.0,14.0,7.0,5.0,2.0
LaHondonada,0.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,5.0,0.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0
LaIsla,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0
LaLadera,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
LaLibertad,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,4.0,3.0,5.0,1.0,7.0,1.0,3.0,1.0,5.0,1.0,4.0,3.0,3.0,1.0,2.0
LaLomaOriental,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LaLomadeLosBernal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
LaMansion,0.0,0.0,0.0,1.0,0.0,2.0,8.0,1.0,1.0,3.0,1.0,3.0,6.0,4.0,2.0,0.0,4.0,5.0,10.0,7.0,3.0,3.0,1.0,1.0
LaMilagrosa,0.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,4.0,3.0,3.0,6.0,6.0,7.0,7.0,4.0,4.0,9.0,6.0,10.0,11.0,3.0,2.0
LaMota,0.0,1.0,0.0,0.0,0.0,3.0,9.0,9.0,4.0,6.0,5.0,5.0,7.0,6.0,7.0,4.0,4.0,3.0,7.0,4.0,3.0,3.0,1.0,1.0
LaOculta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaPalma,2.0,1.0,1.0,0.0,1.0,1.0,9.0,6.0,7.0,4.0,6.0,4.0,8.0,5.0,4.0,8.0,9.0,7.0,4.0,8.0,3.0,7.0,2.0,2.0
