BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
VersallesNo2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0
VillaCarlota,3.0,0.0,3.0,1.0,3.0,4.0,17.0,25.0,21.0,33.0,14.0,31.0,37.0,25.0,34.0,32.0,30.0,49.0,27.0,14.0,19.0,7.0,6.0,3.0
VillaFlora,2.0,2.0,1.0,1.0,2.0,5.0,17.0,11.0,6.0,7.0,8.0,7.0,5.0,9.0,6.0,9.0,10.0,7.0,7.0,6.0,13.0,7.0,4.0,4.0
VillaGuadalupe,1.0,1.0,1.0,0.0,2.0,1.0,6.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,6.0,3.0,8.0,5.0,5.0,4.0,4.0,2.0
VillaHermosa,1.0,3.0,0.0,0.0,0.0,2.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,8.0,12.0,11.0,2.0,3.0,4.0
VillaLiliam,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0
VillaLilliam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VillaNiza,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0
VillaNueva,7.0,2.0,4.0,3.0,5.0,9.0,28.0,34.0,35.0,21.0,33.0,31.0,42.0,41.0,36.0,43.0,43.0,31.0,42.0,27.0,20.0,15.0,7.0,9.0
VillaTurbay,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VilladelSocorro,0.0,2.0,1.0,2.0,1.0,4.0,0.0,4.0,0.0,2.0,5.0,8.0,7.0,4.0,3.0,4.0,6.0,3.0,4.0,3.0,6.0,4.0,1.0,3.0
Villatina,2.0,0.0,3.0,1.0,3.0,1.0,5.0,3.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,8.0,6.0,6.0,5.0,3.0
Yolombo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ÁreadeExpansionAltosdeCalasanz,0.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0
ÁreadeExpansionPajarito,1.0,0.0,2.0,0.0,2.0,5.0,14.0,8.0,9.0,4.0,8.0,10.0,9.0,7.0,9.0,8.0,13.0,9.0,10.0,11.0,10.0,6.0,8.0,3.0
ÁreadeExpansionSanAntoniodePrado,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
