BARRIO,Lon,Lat
Gerona,-75.55943941310386,6.238324047191866
Girardot,-75.56869038111465,6.296345077175189
Granada,-75.59366584666886,6.229852840220866
Granizal,-75.54721574422264,6.292599469299552
Guayabal,-75.5862531339463,6.199661761558653
Guayaquil,-75.57283493234362,6.2466774193806724
HectorAbadGomez,-75.55916491017484,6.300946523731948
HospitalSanVicentedePaul,-75.56653913589275,6.262455410186213
Inst,-75.5828663342956,6.246914333674068
JardinBotanico,-75.56428380796203,6.269837449918485
JesusNazareno,-75.56855088515846,6.258865402108226
JuanPabloII,-75.53031139656282,6.229744610981732
JuanXXIIILaQuiebra,-75.61317704053185,6.264602500039426
Kennedy,-75.5830230224045,6.2884900286829994
LaAguacatala,-75.57854980988797,6.197893607618729
LaAlpujarra,-75.57639924638788,6.245719521981339
LaAmerica,-75.60448380185369,6.250978944515662
LaAvanzada,-75.53981999145594,6.295018855379062
LaCandelaria,-75.5661203930817,6.248862640535041
LaCastellana,-75.6059885765053,6.239680478630785
LaColina,-75.59137514196715,6.1997038884944855
LaCruz,-75.53855669749204,6.270090253973003
LaEsperanza,-75.57658999623094,6.292004220962045
LaEsperanzaNo2,-75.5424646794488,6.290496549363404
LaFloresta,-75.6016103027528,6.256553940101702
LaFlorida,-75.56817884987251,6.204605054963534
LaFrancia,-75.55468126215317,6.300840743944811
LaFrontera,-75.55500410752353,6.304774058427466
LaGloria,-75.60258303433714,6.2230863240354335
LaHondonada,-75.60119921214923,6.203857149729506
LaIsla,-75.54955930482801,6.3032279530359805
LaLadera,-75.55281174637538,6.2518964394681085
LaLibertad,-75.543138009192,6.240167060281294
LaLomaOriental,-75.62151275167459,6.271849800402894
LaLomadeLosBernal,-75.60358243194597,6.218978379296221
LaMansion,-75.55647627359885,6.2590695003870795
LaMilagrosa,-75.55517634806232,6.235494888491468
LaMota,-75.60009010258369,6.210598536742859
LaOculta,-75.66675881446423,6.193883505308023
LaPalma,-75.60233484516938,6.228508664778487
LaPilarica,-75.58527731519699,6.275111584172823
LaPiñuela,-75.55638010992341,6.280823857115395
LaPradera,-75.61095729166536,6.26027344026769
LaRosa,-75.55975347821322,6.291013250629889
LaSalle,-75.54873505411692,6.283143033032358
LaSierra,-75.52934101256712,6.2326327482841295
LaVerde,-75.63934286833708,6.191586350866083
Lalinde,-75.56882422949363,6.212542198488413
LasAcacias,-75.6006525216798,6.2406079430985395
LasBrisas,-75.56338217559397,6.306422096607879
LasEsmeraldas,-75.55428905959145,6.278748617646645
LasEstancias,-75.53494233929395,6.233023178918721
LasGranjas,-75.54908638388646,6.278555478183775
LasIndependencias,-75.62267254648141,6.249951378981192
LasLomasNo1,-75.56314538522246,6.209868903586953
LasLomasNo2,-75.5578963576402,6.209992861934552
LasMercedes,-75.6085475521147,6.235011299077155
LasPalmas,-75.55967021206828,6.225051619477672
LasPlayas,-75.59705792818828,6.219919236322887
LasVioletas,-75.61399314266829,6.233171727053098
Laureles,-75.59586634817,6.242984117346713
LaurelesEstadio,-75.58747884222036,6.247477554945182
Llanaditas,-75.54035764617896,6.253428043870763
LomadelosBernal,-75.60245233043248,6.218368519742621
LopezdeMesa,-75.5829473087409,6.283846878317245
Lorena,-75.59904614867797,6.247977692219112
Loreto,-75.55864379783392,6.231369309898529
LosAlcazares,-75.60449404859254,6.260559143972119
